Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"In comments page, in the Reply function, the comment is not being updated and replied",RE-59,10072,Bug,To Do,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,08-09-21 20:28,08-09-21 23:00,09-09-21 11:18,,,0,"In the Reply function , comment is not being updated and replied on clicking reply button

Steps to reproduce:

# Navigate to the application 
# In the comments page, navigate to any comment which is to be replied
# Select reply option and a 
reply to comment box appears.
# Edit the comment and select the reply button
# Verify the updated reply is displayed or not

Expected Results:

The updated reply should be displayed on selecting reply button

Actual results:

The updated reply is not displayed on selecting reply button but after refreshing the page it is being displayed

!ss_reply.png|width=50%!



h2. Environment",,Shramana Das,612ef868b7859000710af957,,,,,,,,,RE-46,,,08/Sep/21 8:48 PM;ug:2fe4737f-44c9-4a72-b04b-cc0c3545dec3;ss_reply.png;https://corporateola24.atlassian.net/secure/attachment/10000/ss_reply.png,,,,,,{},,RE-1,,,,,0|i000dn:,,RE Sprint 1,,,,,,,,To Do
Verify view image type attachment functionality,RE-58,10071,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,08-09-21 18:04,09-09-21 10:54,09-09-21 10:54,08-09-21 21:54,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000g7:,,RE Sprint 1,,,,,,,,Done
To verify functionality of next and previous page buttons,RE-57,10070,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,08-09-21 16:45,09-09-21 10:58,09-09-21 10:58,08-09-21 21:54,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-42,,,,,,,,{},,,,,,,0|i000fz:,,RE Sprint 1,,,,,,,,Done
Verify blockquote tag functionality in reply,RE-56,10069,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,08-09-21 12:34,09-09-21 10:59,09-09-21 10:59,08-09-21 21:55,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fr:,,RE Sprint 1,,,,,,,,Done
Verify insert/edit link functionality in reply,RE-55,10068,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,08-09-21 12:33,09-09-21 10:59,09-09-21 10:59,08-09-21 21:55,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fj:,,RE Sprint 1,,,,,,,,Done
Verify text formatting functionality in reply ,RE-54,10067,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,08-09-21 12:29,09-09-21 10:59,09-09-21 11:00,08-09-21 21:55,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fb:,,RE Sprint 1,,,,,,,,Done
Verify close tags functionality in reply,RE-53,10066,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,08-09-21 11:08,09-09-21 11:00,09-09-21 11:00,08-09-21 21:55,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-11,,,,,,,,{},,,,,,,0|i000f3:,,RE Sprint 1,,,,,,,,Done
Verify insert functionality in reply,RE-52,10065,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,08-09-21 10:59,09-09-21 11:00,09-09-21 11:01,08-09-21 21:55,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ev:,,RE Sprint 1,,,,,,,,Done
Verify list functionality in a reply,RE-51,10064,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,08-09-21 10:52,09-09-21 11:01,09-09-21 11:01,08-09-21 22:08,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-11,,,,,,,,{},,,,,,,0|i000en:,,RE Sprint 1,,,,,,,,Done
"Verify ""delete datetime"" functionality in reply",RE-50,10063,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,08-09-21 10:30,09-09-21 11:02,09-09-21 11:02,08-09-21 22:09,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-11,,,,,,,,{},,,,,,,0|i000ef:,,RE Sprint 1,,,,,,,,Done
